"filename", "language", "C++", "Markdown", "Batch", "comment", "blank", "total"
"d:\vscode_demo\Answer\AT\440.md", "Markdown", 0, 133, 0, 0, 30, 163
"d:\vscode_demo\Answer\CF\Good Bye 2025.md", "Markdown", 0, 39, 0, 0, 11, 50
"d:\vscode_demo\Answer\板子.md", "Markdown", 0, 11, 0, 3, 0, 14
"d:\vscode_demo\Atcoder\ABC\437\a.cpp", "C++", 22, 0, 0, 1, 4, 27
"d:\vscode_demo\Atcoder\ABC\437\b.cpp", "C++", 35, 0, 0, 1, 7, 43
"d:\vscode_demo\Atcoder\ABC\437\c.cpp", "C++", 36, 0, 0, 1, 6, 43
"d:\vscode_demo\Atcoder\ABC\437\d.cpp", "C++", 38, 0, 0, 1, 9, 48
"d:\vscode_demo\Atcoder\C\Distance Indicators.cpp", "C++", 38, 0, 0, 1, 3, 42
"d:\vscode_demo\Atcoder\easy\B - Power Socket.cpp", "C++", 29, 0, 0, 1, 4, 34
"d:\vscode_demo\Atcoder\easy\B - Qualification simulator.cpp", "C++", 21, 0, 0, 1, 5, 27
"d:\vscode_demo\Atcoder\easy\C - Rally.cpp", "C++", 31, 0, 0, 6, 4, 41
"d:\vscode_demo\Atcoder\medium\B - Trained.cpp", "C++", 43, 0, 0, 1, 4, 48
"d:\vscode_demo\LIKE题\子序列\比例+限制极值.md", "Markdown", 0, 34, 0, 0, 7, 41
"d:\vscode_demo\atest.cpp", "C++", 66, 0, 0, 0, 10, 76
"d:\vscode_demo\codeforces\1200\Against the Difference.cpp", "C++", 27, 0, 0, 1, 3, 31
"d:\vscode_demo\codeforces\1200\Games.cpp", "C++", 45, 0, 0, 2, 3, 50
"d:\vscode_demo\codeforces\1200\Loyalty.cpp", "C++", 54, 0, 0, 0, 3, 57
"d:\vscode_demo\codeforces\1200\Number Maze.cpp", "C++", 24, 0, 0, 1, 4, 29
"d:\vscode_demo\codeforces\1200\Replace with Occurrences.cpp", "C++", 60, 0, 0, 0, 3, 63
"d:\vscode_demo\codeforces\1200\Split.cpp", "C++", 50, 0, 0, 7, 3, 60
"d:\vscode_demo\codeforces\1200\a and b.cpp", "C++", 53, 0, 0, 0, 3, 56
"d:\vscode_demo\codeforces\ctest.cpp", "C++", 31, 0, 0, 0, 4, 35
"d:\vscode_demo\codeforces\div22222222\Little Fairy's Painting.cpp", "C++", 32, 0, 0, 0, 4, 36
"d:\vscode_demo\codeforces\div22222222\Needle in a Haystack.cpp", "C++", 0, 0, 0, 0, 1, 1
"d:\vscode_demo\codeforces\div22222222\Split.cpp", "C++", 51, 0, 0, 1, 3, 55
"d:\vscode_demo\codeforces\div22222222\XOR Array .cpp", "C++", 36, 0, 0, 0, 3, 39
"d:\vscode_demo\codeforces\math\378QAQ and Mocha's Array.cpp", "C++", 43, 0, 0, 0, 3, 46
"d:\vscode_demo\codeforces\math\Make Equal Again.cpp", "C++", 52, 0, 0, 1, 3, 56
"d:\vscode_demo\codeforces\math\Paint a Strip.cpp", "C++", 37, 0, 0, 0, 3, 40
"d:\vscode_demo\codeforces\math\Permutation Printing.cpp", "C++", 38, 0, 0, 21, 3, 62
"d:\vscode_demo\codeforces\math\Rudolf and 121.cpp", "C++", 49, 0, 0, 0, 3, 52
"d:\vscode_demo\codeforces\math\Superultra's Favorite Permutation.cpp", "C++", 47, 0, 0, 0, 3, 50
"d:\vscode_demo\codeforces\math\The Strict Teacher (Easy Version).cpp", "C++", 41, 0, 0, 1, 3, 45
"d:\vscode_demo\codeforces\math\The Strict Teacher (Hard Version).cpp", "C++", 43, 0, 0, 0, 3, 46
"d:\vscode_demo\codeforces\vppppppp\round 582 div3\a.cpp", "C++", 29, 0, 0, 1, 2, 32
"d:\vscode_demo\codeforces\vppppppp\round 582 div3\b.cpp", "C++", 35, 0, 0, 1, 2, 38
"d:\vscode_demo\codeforces\vppppppp\round 582 div3\c.cpp", "C++", 37, 0, 0, 3, 3, 43
"d:\vscode_demo\codeforces\vppppppp\round 582 div3\d1.cpp", "C++", 54, 0, 0, 2, 10, 66
"d:\vscode_demo\codeforces\vppppppp\round 582 div3\d2.cpp", "C++", 44, 0, 0, 1, 5, 50
"d:\vscode_demo\codeforces\vppppppp\round 582 div3\e.cpp", "C++", 0, 0, 0, 0, 1, 1
"d:\vscode_demo\hello.cpp", "C++", 18, 0, 0, 1, 5, 24
"d:\vscode_demo\judge\a.cpp", "C++", 32, 0, 0, 1, 5, 38
"d:\vscode_demo\judge\bat.bat", "Batch", 0, 0, 7, 0, 0, 7
"d:\vscode_demo\judge\makedata.cpp", "C++", 11, 0, 0, 0, 4, 15
"d:\vscode_demo\judge\std.cpp", "C++", 29, 0, 0, 1, 3, 33
"d:\vscode_demo\vjudge\1.cpp", "C++", 61, 0, 0, 6, 3, 70
"d:\vscode_demo\vjudge\2.cpp", "C++", 88, 0, 0, 1, 2, 91
"d:\vscode_demo\vjudge\3.cpp", "C++", 55, 0, 0, 1, 2, 58
"d:\vscode_demo\vjudge\4.cpp", "C++", 21, 0, 0, 1, 3, 25
"d:\vscode_demo\vjudge\5.cpp", "C++", 21, 0, 0, 1, 4, 26
"d:\vscode_demo\板子题\DFS\树上DFS.md", "Markdown", 0, 97, 0, 0, 24, 121
"d:\vscode_demo\板子题\DP\LST.md", "Markdown", 0, 134, 0, 0, 22, 156
"d:\vscode_demo\板子题\DP\记忆化.md", "Markdown", 0, 59, 0, 0, 12, 71
"d:\vscode_demo\板子题\ST表\Sparse_Table.cpp", "C++", 43, 0, 0, 1, 5, 49
"d:\vscode_demo\板子题\并查集\板子.md", "Markdown", 0, 25, 0, 0, 3, 28
"d:\vscode_demo\板子题\总结\Odd_Problem.md", "Markdown", 0, 102, 0, 0, 51, 153
"d:\vscode_demo\板子题\总结\lamda.md", "Markdown", 0, 22, 0, 0, 8, 30
"d:\vscode_demo\板子题\总结\临时板子.md", "Markdown", 0, 117, 0, 0, 42, 159
"d:\vscode_demo\板子题\总结\补题目.md", "Markdown", 0, 0, 0, 0, 1, 1
"d:\vscode_demo\板子题\总结\高级c++.md", "Markdown", 0, 16, 0, 0, 11, 27
"d:\vscode_demo\板子题\数论\Catalan_number.cpp", "C++", 30, 0, 0, 1, 4, 35
"d:\vscode_demo\板子题\数论\get_C.cpp", "C++", 43, 0, 0, 1, 10, 54
"d:\vscode_demo\板子题\数论\get_factors.cpp", "C++", 54, 0, 0, 1, 8, 63
"d:\vscode_demo\板子题\数论\get_primes.cpp", "C++", 36, 0, 0, 1, 7, 44
"d:\vscode_demo\板子题\数论\qpow.cpp", "C++", 33, 0, 0, 1, 6, 40
"d:\vscode_demo\板子题\线段树\base.cpp", "C++", 82, 0, 0, 5, 10, 97
"d:\vscode_demo\板子题\线段树\base.md", "Markdown", 0, 17, 0, 0, 4, 21
"d:\vscode_demo\板子题\线段树\lazy.cpp", "C++", 83, 0, 0, 2, 14, 99
"d:\vscode_demo\板子题\线段树\lazy2.cpp", "C++", 0, 0, 0, 0, 1, 1
"d:\vscode_demo\比赛\Atcoder\365\a.cpp", "C++", 29, 0, 0, 1, 4, 34
"d:\vscode_demo\比赛\Atcoder\365\b.cpp", "C++", 31, 0, 0, 1, 4, 36
"d:\vscode_demo\比赛\Atcoder\365\c.cpp", "C++", 59, 0, 0, 1, 5, 65
"d:\vscode_demo\比赛\Atcoder\365\d.cpp", "C++", 54, 0, 0, 3, 4, 61
"d:\vscode_demo\比赛\Atcoder\438\a.cpp", "C++", 29, 0, 0, 1, 4, 34
"d:\vscode_demo\比赛\Atcoder\438\b.cpp", "C++", 58, 0, 0, 4, 7, 69
"d:\vscode_demo\比赛\Atcoder\438\c.cpp", "C++", 36, 0, 0, 2, 5, 43
"d:\vscode_demo\比赛\Atcoder\438\d.cpp", "C++", 47, 0, 0, 1, 5, 53
"d:\vscode_demo\比赛\Atcoder\438\e.cpp", "C++", 47, 0, 0, 2, 6, 55
"d:\vscode_demo\比赛\Atcoder\439\a.cpp", "C++", 22, 0, 0, 1, 4, 27
"d:\vscode_demo\比赛\Atcoder\439\b.cpp", "C++", 40, 0, 0, 3, 6, 49
"d:\vscode_demo\比赛\Atcoder\439\c.cpp", "C++", 41, 0, 0, 1, 6, 48
"d:\vscode_demo\比赛\Atcoder\439\d.cpp", "C++", 40, 0, 0, 1, 6, 47
"d:\vscode_demo\比赛\Atcoder\439\e.cpp", "C++", 40, 0, 0, 1, 7, 48
"d:\vscode_demo\比赛\Atcoder\439\test.cpp", "C++", 0, 0, 0, 0, 1, 1
"d:\vscode_demo\比赛\Atcoder\440\a.cpp", "C++", 22, 0, 0, 2, 4, 28
"d:\vscode_demo\比赛\Atcoder\440\b.cpp", "C++", 28, 0, 0, 1, 4, 33
"d:\vscode_demo\比赛\Atcoder\440\c.cpp", "C++", 37, 0, 0, 3, 9, 49
